employment_type,required_experience,industry,telecommuting,has_company_logo,total_jobs,fake_jobs,fake_percentage
Full-time,"Entry level",Insurance,0,1,23,0,0
Full-time,Associate,"Marketing and Advertising",0,1,128,0,0
Full-time,NULL,"Staffing and Recruiting",0,1,42,0,0
Full-time,"Entry level","Consumer Services",1,0,1,0,0
Full-time,"Not Applicable",NULL,0,1,88,0,0
Full-time,Director,Internet,0,1,34,0,0
Full-time,"Mid-Senior level","Financial Services",0,1,129,0,0
Full-time,"Mid-Senior level","Oil & Energy",0,1,85,36,42.35
Full-time,"Entry level",Internet,1,1,5,0,0
Full-time,"Mid-Senior level",Internet,1,1,26,0,0
Full-time,Internship,NULL,0,1,38,0,0
Full-time,"Not Applicable","Venture Capital & Private Equity",0,1,4,0,0
Full-time,Director,"Management Consulting",0,1,9,0,0
Part-time,"Entry level","Hospital & Health Care",0,1,23,0,0
Full-time,"Mid-Senior level","Leisure, Travel & Tourism",0,1,15,0,0
NULL,NULL,NULL,1,1,73,5,6.85
NULL,"Not Applicable","Human Resources",0,1,11,0,0
Full-time,"Entry level",Internet,0,1,90,0,0
Full-time,Director,"Computer Software",0,1,26,0,0
Full-time,Associate,"Consumer Services",0,1,26,5,19.23
Full-time,NULL,NULL,0,1,528,2,0.38
Part-time,"Entry level","Education Management",0,1,9,0,0
Full-time,Associate,Pharmaceuticals,0,1,10,0,0
Temporary,Internship,Farming,0,1,1,0,0
Full-time,"Entry level",Telecommunications,0,1,72,1,1.39
Full-time,"Entry level","Legal Services",0,1,58,0,0
Full-time,"Mid-Senior level","Luxury Goods & Jewelry",0,1,2,0,0
Contract,NULL,Machinery,0,0,1,0,0
Full-time,Associate,"Real Estate",0,0,6,0,0
Contract,NULL,NULL,1,0,3,0,0
Full-time,Associate,"Mechanical or Industrial Engineering",0,0,4,0,0
Full-time,Director,NULL,0,0,2,0,0
Full-time,"Mid-Senior level","Public Relations and Communications",0,1,8,0,0
Full-time,Internship,"Computer Software",0,1,4,0,0
Full-time,"Mid-Senior level","Consumer Goods",0,0,1,0,0
Full-time,"Entry level","Financial Services",0,0,28,2,7.14
Full-time,"Entry level","Marketing and Advertising",0,1,119,0,0
Full-time,Associate,"Medical Practice",0,1,14,0,0
Full-time,"Mid-Senior level","Electrical/Electronic Manufacturing",0,1,22,1,4.55
Full-time,Associate,Cosmetics,0,1,1,0,0
Other,"Entry level","Financial Services",0,1,2,0,0
Full-time,Director,"Marketing and Advertising",0,1,30,7,23.33
Full-time,"Mid-Senior level","Information Technology and Services",0,1,445,10,2.25
Full-time,"Mid-Senior level","Hospital & Health Care",0,0,27,0,0
NULL,NULL,Cosmetics,0,1,12,0,0
Part-time,"Entry level","Medical Practice",0,1,4,0,0
Full-time,"Entry level",Hospitality,0,0,3,2,66.67
Full-time,"Mid-Senior level","Marketing and Advertising",0,1,186,13,6.99
Full-time,"Entry level","Consumer Electronics",0,1,9,0,0
Full-time,"Not Applicable","Consumer Services",0,1,16,0,0
Part-time,"Entry level","Consumer Services",0,1,30,0,0
Full-time,"Entry level","Information Technology and Services",0,1,140,1,0.71
Full-time,Director,Telecommunications,0,1,10,3,30
Full-time,"Mid-Senior level",Music,0,1,2,0,0
Full-time,"Not Applicable","Market Research",0,0,1,0,0
Full-time,Associate,"Information Technology and Services",0,0,19,0,0
NULL,"Not Applicable",NULL,0,1,69,0,0
Contract,"Mid-Senior level","Information Technology and Services",0,1,63,2,3.17
Full-time,"Not Applicable","Education Management",0,1,3,0,0
Full-time,"Not Applicable",Automotive,0,0,12,0,0
Full-time,"Not Applicable",Internet,0,1,44,0,0
Full-time,"Entry level",NULL,0,0,13,1,7.69
Contract,"Mid-Senior level","Information Technology and Services",0,0,39,5,12.82
Full-time,NULL,"Marketing and Advertising",0,0,44,2,4.55
Full-time,"Not Applicable","Computer Software",0,1,41,0,0
NULL,NULL,"Building Materials",0,1,1,0,0
Other,Internship,"Computer Software",1,1,1,0,0
Full-time,Associate,"Consumer Goods",0,1,11,0,0
Full-time,"Mid-Senior level",Philanthropy,0,1,3,0,0
Full-time,"Entry level","Online Media",0,1,12,0,0
Full-time,"Not Applicable","Hospital & Health Care",0,1,20,0,0
Full-time,"Not Applicable",Utilities,0,0,1,0,0
Full-time,Associate,Hospitality,0,1,17,0,0
Contract,"Not Applicable",Banking,0,1,1,0,0
Full-time,NULL,Telecommunications,0,1,29,0,0
Full-time,NULL,"Health, Wellness and Fitness",0,1,10,0,0
Contract,NULL,NULL,1,1,11,0,0
Other,Internship,"Information Technology and Services",0,1,3,0,0
Temporary,NULL,NULL,0,1,14,0,0
Full-time,Director,Farming,0,1,14,0,0
Full-time,"Not Applicable","Primary/Secondary Education",0,1,1,0,0
Full-time,Associate,"Logistics and Supply Chain",0,1,15,0,0
Full-time,NULL,Design,0,1,18,0,0
Full-time,"Mid-Senior level","Gambling & Casinos",0,0,19,0,0
Full-time,NULL,"Primary/Secondary Education",0,1,3,0,0
Contract,Associate,Automotive,0,0,1,1,100
Part-time,NULL,Accounting,0,1,1,0,0
Part-time,NULL,NULL,1,0,1,0,0
Full-time,Associate,Insurance,0,1,18,0,0
Full-time,Director,"Health, Wellness and Fitness",0,1,3,0,0
Full-time,Director,"Information Technology and Services",1,1,7,0,0
Full-time,"Mid-Senior level","Environmental Services",0,1,5,3,60
Full-time,Internship,"Financial Services",0,1,4,0,0
Full-time,"Mid-Senior level",Construction,0,0,7,0,0
Full-time,"Mid-Senior level","Financial Services",0,0,25,0,0
Full-time,Associate,"Mental Health Care",0,0,3,0,0
Full-time,"Not Applicable","Investment Management",0,1,1,0,0
Full-time,"Mid-Senior level","Management Consulting",0,1,29,2,6.9
Part-time,"Entry level","Computer Software",0,1,8,0,0
Full-time,"Mid-Senior level","Information Technology and Services",1,1,20,0,0
Full-time,"Mid-Senior level","Human Resources",0,1,10,0,0
Full-time,Associate,E-Learning,0,1,28,0,0
Full-time,Associate,"Apparel & Fashion",0,1,7,0,0
Other,Internship,"Media Production",0,1,1,0,0
NULL,"Mid-Senior level",NULL,0,1,3,0,0
Full-time,Associate,Publishing,0,1,5,0,0
NULL,NULL,"Information Technology and Services",0,0,3,0,0
Contract,"Mid-Senior level",Banking,0,1,4,0,0
Full-time,"Entry level","Medical Devices",0,1,2,0,0
Part-time,"Entry level",Telecommunications,0,1,17,0,0
Full-time,"Entry level",Telecommunications,1,1,20,0,0
Full-time,"Mid-Senior level","Information Services",0,0,4,0,0
Full-time,"Not Applicable","Health, Wellness and Fitness",0,1,2,0,0
Full-time,"Entry level","Real Estate",0,1,15,1,6.67
Full-time,Associate,Retail,0,0,8,0,0
Full-time,"Not Applicable",Automotive,0,1,6,0,0
NULL,"Mid-Senior level",Banking,0,1,2,0,0
Full-time,Associate,Insurance,0,0,2,0,0
Full-time,NULL,Automotive,0,1,18,0,0
Part-time,NULL,NULL,0,1,41,0,0
Contract,"Entry level","Real Estate",0,1,1,0,0
Full-time,Associate,Sports,0,1,8,0,0
Full-time,Associate,Internet,0,0,18,0,0
Full-time,NULL,"Computer Games",0,1,13,0,0
Part-time,Associate,"Events Services",0,0,1,0,0
Full-time,NULL,"Hospital & Health Care",0,0,37,34,91.89
Full-time,"Mid-Senior level",Chemicals,0,1,14,0,0
Full-time,"Entry level","Health, Wellness and Fitness",0,1,13,0,0
Full-time,NULL,Accounting,0,0,41,2,4.88
Full-time,NULL,"Facilities Services",0,0,14,0,0
Full-time,Associate,"Aviation & Aerospace",0,1,5,0,0
Full-time,"Mid-Senior level","Marketing and Advertising",0,0,28,0,0
Full-time,Associate,Accounting,0,1,19,2,10.53
Other,Internship,Design,0,1,4,0,0
Full-time,"Not Applicable","Financial Services",0,0,9,2,22.22
Full-time,Executive,"Hospital & Health Care",0,0,10,0,0
Temporary,NULL,Retail,0,1,1,0,0
Full-time,Internship,Banking,1,0,1,0,0
Full-time,"Not Applicable",Retail,0,1,7,0,0
Temporary,Internship,"Management Consulting",0,1,2,0,0
Full-time,Associate,NULL,0,1,59,0,0
Part-time,"Entry level","Consumer Services",0,0,4,2,50
Full-time,NULL,"Information Technology and Services",0,0,70,3,4.29
Full-time,"Mid-Senior level","Business Supplies and Equipment",0,1,2,0,0
Full-time,Executive,"Public Relations and Communications",0,1,2,0,0
Full-time,"Mid-Senior level","Program Development",0,0,2,0,0
Full-time,"Entry level","Oil & Energy",0,1,13,3,23.08
Full-time,"Entry level",Accounting,0,1,13,6,46.15
Temporary,Internship,NULL,0,0,2,0,0
Part-time,Internship,NULL,0,1,9,0,0
Part-time,Associate,"Real Estate",0,0,1,0,0
Full-time,"Mid-Senior level","Computer Networking",0,1,23,9,39.13
Full-time,Director,"Financial Services",0,0,1,0,0
Full-time,"Not Applicable","Computer Software",1,0,2,0,0
Other,"Not Applicable","Hospital & Health Care",0,1,5,0,0
NULL,Associate,"Real Estate",0,0,1,0,0
Full-time,NULL,Internet,0,1,91,0,0
Full-time,"Not Applicable",Telecommunications,0,1,13,0,0
Full-time,"Entry level","Human Resources",0,1,14,2,14.29
Full-time,Director,"Consumer Electronics",0,1,2,0,0
Part-time,"Entry level","Logistics and Supply Chain",0,1,3,0,0
Full-time,NULL,Pharmaceuticals,0,1,3,0,0
Contract,"Entry level",NULL,0,0,2,0,0
Full-time,"Entry level","Financial Services",1,0,8,0,0
Full-time,"Entry level",Hospitality,0,1,12,1,8.33
NULL,"Not Applicable","Primary/Secondary Education",0,0,1,0,0
Full-time,Associate,Biotechnology,0,1,11,0,0
Contract,"Entry level","Consumer Services",0,1,3,0,0
Full-time,NULL,"Education Management",0,1,23,0,0
Full-time,"Entry level","Computer Games",0,1,8,0,0
Full-time,NULL,"Computer Software",0,0,69,0,0
Full-time,"Entry level",Retail,0,1,32,4,12.5
Full-time,"Mid-Senior level",Design,0,1,33,0,0
Part-time,"Entry level",Retail,0,1,8,0,0
Part-time,NULL,"Hospital & Health Care",0,1,32,0,0
Full-time,"Mid-Senior level",Publishing,0,1,9,0,0
Full-time,"Not Applicable","Human Resources",0,1,19,0,0
Full-time,"Mid-Senior level",Utilities,1,0,2,0,0
Full-time,"Entry level","Computer Software",1,0,5,1,20
Full-time,"Mid-Senior level",Retail,0,1,45,1,2.22
Full-time,"Not Applicable",Telecommunications,0,0,3,1,33.33
Full-time,"Mid-Senior level","Computer Games",0,1,37,0,0
Part-time,NULL,E-Learning,0,1,2,0,0
Full-time,"Entry level","Civic & Social Organization",0,1,33,0,0
Part-time,"Entry level",Internet,0,1,9,0,0
Part-time,"Entry level","Consumer Goods",0,1,1,0,0
Full-time,"Mid-Senior level",Design,1,1,4,0,0
Full-time,"Entry level",Internet,0,0,7,0,0
Full-time,Director,"Hospital & Health Care",0,0,7,0,0
Full-time,Director,NULL,0,1,16,2,12.5
Full-time,"Mid-Senior level","Logistics and Supply Chain",0,1,34,0,0
Full-time,Associate,"Leisure, Travel & Tourism",1,1,2,0,0
Full-time,"Not Applicable","Marketing and Advertising",0,0,14,7,50
Full-time,Associate,"Human Resources",0,1,9,0,0
Full-time,"Not Applicable","Consumer Goods",0,0,2,0,0
Part-time,Associate,"Religious Institutions",0,1,3,0,0
Full-time,"Not Applicable",Warehousing,0,1,15,0,0
Full-time,"Mid-Senior level",NULL,0,1,105,0,0
Full-time,NULL,"Online Media",0,1,4,0,0
Full-time,"Not Applicable",Airlines/Aviation,0,1,4,0,0
Contract,"Mid-Senior level",Internet,0,1,9,0,0
NULL,"Entry level",NULL,0,0,3,1,33.33
Full-time,NULL,"Financial Services",0,0,6,0,0
Full-time,"Not Applicable",Insurance,0,1,22,2,9.09
Full-time,"Not Applicable",Construction,0,1,12,0,0
Full-time,"Mid-Senior level",Construction,0,1,28,0,0
Full-time,"Not Applicable","Food & Beverages",0,1,11,0,0
Full-time,Associate,Retail,0,1,21,0,0
Full-time,Associate,"Education Management",0,1,12,0,0
Contract,NULL,"Food & Beverages",0,1,6,0,0
Other,Internship,"Writing and Editing",1,1,1,0,0
Full-time,NULL,Construction,0,1,12,0,0
Contract,"Mid-Senior level","Hospital & Health Care",0,1,3,0,0
Full-time,NULL,"Financial Services",0,1,72,4,5.56
Full-time,Associate,Automotive,0,0,2,0,0
Full-time,"Not Applicable",Restaurants,0,1,6,0,0
Full-time,"Mid-Senior level",Retail,1,1,1,0,0
Contract,Executive,"Leisure, Travel & Tourism",0,1,1,0,0
Full-time,"Entry level",Outsourcing/Offshoring,0,1,4,0,0
Full-time,"Entry level","Marketing and Advertising",0,0,12,0,0
NULL,NULL,Transportation/Trucking/Railroad,0,1,2,0,0
Full-time,Associate,"Events Services",0,1,11,0,0
Contract,Executive,Hospitality,0,1,2,2,100
Temporary,Internship,"Management Consulting",0,0,1,0,0
Full-time,Director,"Online Media",0,1,8,0,0
Other,NULL,NULL,0,0,7,1,14.29
Full-time,"Mid-Senior level",Wireless,0,1,1,0,0
Full-time,NULL,"Hospital & Health Care",0,1,35,0,0
Full-time,NULL,"Consumer Goods",0,0,1,0,0
Full-time,"Mid-Senior level","Events Services",0,1,4,0,0
Part-time,Internship,"Marketing and Advertising",1,1,2,0,0
Full-time,NULL,"Consumer Services",0,0,2,0,0
Full-time,"Mid-Senior level",Banking,0,0,5,0,0
Full-time,"Entry level","Investment Banking",0,1,1,0,0
Full-time,Internship,Internet,0,0,3,0,0
Full-time,Associate,"Medical Devices",0,0,1,0,0
Contract,"Mid-Senior level",NULL,0,1,15,0,0
Full-time,"Entry level","Financial Services",1,1,4,1,25
Contract,"Mid-Senior level",NULL,0,0,26,1,3.85
Full-time,"Mid-Senior level","Consumer Services",0,1,12,0,0
Full-time,NULL,"Public Relations and Communications",0,1,3,0,0
Full-time,Executive,"Financial Services",0,1,8,0,0
Full-time,Internship,Internet,0,1,21,0,0
Full-time,"Entry level","Nonprofit Organization Management",0,1,5,0,0
NULL,Internship,NULL,0,1,12,0,0
Contract,"Mid-Senior level",Accounting,0,1,1,0,0
Full-time,Executive,Construction,0,0,1,0,0
Full-time,"Mid-Senior level",Internet,0,0,25,0,0
Full-time,Associate,Internet,1,0,10,0,0
Full-time,NULL,"Media Production",0,0,2,0,0
Contract,"Entry level","Hospital & Health Care",1,0,1,0,0
Contract,"Entry level","Human Resources",1,0,2,0,0
Full-time,"Mid-Senior level",E-Learning,0,0,8,0,0
Contract,"Mid-Senior level","Financial Services",0,0,1,0,0
Part-time,"Not Applicable","Health, Wellness and Fitness",0,0,3,0,0
Part-time,"Not Applicable",Internet,0,1,4,0,0
Full-time,"Not Applicable",Accounting,0,1,6,1,16.67
Contract,"Mid-Senior level",Internet,1,1,5,0,0
Full-time,"Mid-Senior level","Nonprofit Organization Management",0,1,16,0,0
Contract,"Mid-Senior level",Airlines/Aviation,0,1,1,0,0
Full-time,"Mid-Senior level",Design,0,0,4,1,25
Full-time,Associate,"Environmental Services",0,0,7,0,0
NULL,"Entry level",Telecommunications,0,1,10,0,0
Part-time,"Entry level","Computer Software",0,0,1,0,0
Full-time,"Entry level",Automotive,0,1,23,0,0
Full-time,"Entry level",NULL,0,1,63,1,1.59
Full-time,Director,"Information Technology and Services",0,1,36,0,0
Full-time,"Entry level","Leisure, Travel & Tourism",0,1,13,0,0
Full-time,Director,"Hospital & Health Care",0,1,10,0,0
Full-time,Internship,Design,0,1,5,0,0
Full-time,"Not Applicable",Retail,0,0,3,0,0
Full-time,NULL,E-Learning,0,0,1,0,0
NULL,"Entry level",Construction,0,1,7,0,0
Full-time,"Mid-Senior level",Accounting,0,0,3,1,33.33
Contract,"Mid-Senior level",E-Learning,0,0,1,0,0
Contract,NULL,Internet,1,1,7,0,0
Part-time,"Not Applicable",Libraries,0,0,1,0,0
Other,"Mid-Senior level",Internet,0,1,2,0,0
Contract,NULL,"Writing and Editing",1,0,1,0,0
Part-time,"Mid-Senior level","Marketing and Advertising",0,1,1,0,0
Full-time,"Entry level","Computer Hardware",0,1,14,0,0
Full-time,"Mid-Senior level","Broadcast Media",0,1,42,0,0
NULL,"Entry level",NULL,0,1,5,0,0
Full-time,"Entry level",Design,0,1,11,0,0
Full-time,NULL,Publishing,0,1,2,0,0
Full-time,"Mid-Senior level",Printing,1,1,2,0,0
Full-time,Internship,"Marketing and Advertising",0,1,13,0,0
Temporary,Internship,Telecommunications,0,1,1,0,0
Other,"Not Applicable",Telecommunications,0,0,1,0,0
Full-time,"Mid-Senior level","Information Technology and Services",1,0,5,0,0
Full-time,Executive,"Information Technology and Services",0,1,13,0,0
Contract,NULL,"Graphic Design",0,1,1,0,0
Full-time,"Not Applicable",Banking,0,1,1,0,0
Part-time,"Not Applicable",Retail,0,1,11,0,0
Full-time,Executive,"Computer Software",0,1,6,0,0
Part-time,"Not Applicable",Hospitality,0,0,2,0,0
Part-time,Internship,Internet,0,1,7,0,0
Full-time,NULL,"Gambling & Casinos",0,0,8,0,0
Other,NULL,"Hospital & Health Care",0,1,6,0,0
Contract,NULL,"Information Technology and Services",0,1,18,0,0
Full-time,"Mid-Senior level",Entertainment,0,1,23,0,0
Part-time,"Mid-Senior level",Internet,0,1,1,0,0
Full-time,"Entry level","Hospital & Health Care",0,0,17,14,82.35
Full-time,Executive,"Information Technology and Services",1,0,1,0,0
Full-time,"Entry level",Wholesale,0,1,2,0,0
Full-time,Associate,"Information Technology and Services",1,1,18,0,0
Full-time,"Mid-Senior level",Banking,0,1,13,0,0
Full-time,"Mid-Senior level","Food Production",0,1,7,0,0
Full-time,"Mid-Senior level","Media Production",0,1,18,0,0
Full-time,NULL,"Human Resources",0,0,13,0,0
Full-time,"Mid-Senior level",Entertainment,0,0,9,0,0
Full-time,NULL,Research,0,1,13,0,0
Full-time,Director,"Apparel & Fashion",0,1,5,0,0
Contract,"Not Applicable","Logistics and Supply Chain",0,1,2,0,0
Full-time,Internship,"Information Technology and Services",0,1,10,0,0
Full-time,"Mid-Senior level","Apparel & Fashion",0,1,34,0,0
Full-time,"Not Applicable","Information Technology and Services",0,0,6,0,0
Full-time,"Mid-Senior level","Medical Practice",0,1,7,0,0
Part-time,"Entry level",Accounting,0,0,3,2,66.67
Full-time,"Mid-Senior level",Automotive,0,1,26,3,11.54
Full-time,Associate,"Public Relations and Communications",0,1,18,0,0
Other,"Entry level","Marketing and Advertising",0,1,2,0,0
Full-time,"Mid-Senior level","Religious Institutions",0,1,1,0,0
Other,NULL,E-Learning,0,1,17,0,0
Contract,Associate,"Computer Software",0,1,6,0,0
NULL,"Entry level","Hospital & Health Care",0,1,7,0,0
Full-time,"Not Applicable","Facilities Services",0,1,2,0,0
Full-time,"Mid-Senior level","Leisure, Travel & Tourism",0,0,1,0,0
Full-time,"Not Applicable","Consumer Services",1,1,2,0,0
Full-time,"Not Applicable","Financial Services",0,1,12,0,0
Part-time,"Entry level","Marketing and Advertising",0,1,4,0,0
Part-time,NULL,Accounting,0,0,7,5,71.43
Contract,Associate,Animation,0,1,1,0,0
Full-time,"Entry level","Information Technology and Services",0,0,37,1,2.7
Full-time,NULL,"Computer Software",1,1,13,0,0
Full-time,"Entry level","Marketing and Advertising",1,1,10,0,0
Full-time,"Entry level",Utilities,0,1,5,0,0
Full-time,"Mid-Senior level",Accounting,1,1,1,0,0
Full-time,"Mid-Senior level","Legal Services",0,1,7,0,0
Full-time,"Entry level",Banking,0,1,4,0,0
Other,"Not Applicable","Leisure, Travel & Tourism",1,1,2,0,0
Full-time,"Entry level","Government Administration",0,1,9,0,0
Contract,"Mid-Senior level","Mechanical or Industrial Engineering",0,0,1,0,0
Full-time,"Not Applicable",Transportation/Trucking/Railroad,0,1,6,0,0
Full-time,Associate,"Food Production",0,1,9,0,0
Full-time,NULL,"Human Resources",0,1,11,0,0
Other,Internship,E-Learning,0,1,3,0,0
Contract,Associate,Internet,0,1,9,0,0
Full-time,NULL,Telecommunications,0,0,2,1,50
Full-time,NULL,"Capital Markets",0,1,1,0,0
Temporary,Associate,"Information Technology and Services",0,1,4,0,0
Full-time,Associate,E-Learning,0,0,2,0,0
Full-time,NULL,Accounting,0,1,5,1,20
Full-time,"Entry level",Warehousing,0,1,10,1,10
Part-time,"Mid-Senior level","Hospital & Health Care",0,1,9,0,0
Full-time,"Mid-Senior level",Hospitality,0,1,3,0,0
Full-time,"Entry level","Events Services",0,1,4,0,0
Full-time,Internship,Pharmaceuticals,0,1,1,0,0
Full-time,Associate,Airlines/Aviation,0,1,8,0,0
Full-time,Associate,"Venture Capital & Private Equity",0,1,9,0,0
Full-time,"Entry level",Construction,1,1,5,0,0
Contract,NULL,"Mental Health Care",0,1,4,0,0
Full-time,NULL,"Consumer Electronics",0,1,3,0,0
Part-time,"Not Applicable","Food & Beverages",0,0,2,0,0
Part-time,Internship,"Education Management",0,0,1,0,0
Full-time,"Mid-Senior level",Accounting,0,1,9,1,11.11
Part-time,Internship,"Marketing and Advertising",1,0,1,0,0
Full-time,"Mid-Senior level",Pharmaceuticals,0,0,1,0,0
Part-time,Associate,Utilities,0,1,1,0,0
Full-time,Director,"Events Services",0,0,2,0,0
Full-time,Executive,Banking,0,0,1,0,0
Full-time,"Mid-Senior level","Marketing and Advertising",1,1,4,0,0
Contract,Associate,Construction,0,1,3,0,0
Contract,"Mid-Senior level","Environmental Services",0,1,1,0,0
Full-time,Associate,"Computer & Network Security",0,1,4,0,0
Part-time,"Mid-Senior level","Venture Capital & Private Equity",0,1,1,0,0
NULL,NULL,NULL,1,0,38,10,26.32
Full-time,Associate,"Oil & Energy",0,1,36,0,0
Full-time,"Not Applicable","Management Consulting",0,1,2,0,0
Full-time,Director,Internet,0,0,5,0,0
Full-time,Associate,"Computer Software",1,1,6,0,0
Contract,"Mid-Senior level","Computer Software",1,0,1,0,0
Temporary,Internship,NULL,0,1,4,0,0
Contract,"Mid-Senior level",Utilities,0,1,3,0,0
Full-time,"Mid-Senior level","Mechanical or Industrial Engineering",0,1,11,0,0
Temporary,Internship,"Computer Software",0,1,4,0,0
Contract,"Mid-Senior level","Information Technology and Services",1,1,6,0,0
Contract,"Entry level","Financial Services",0,1,4,0,0
Full-time,Associate,Automotive,0,1,16,0,0
Part-time,Associate,Internet,0,1,6,0,0
Full-time,"Entry level","Consumer Goods",0,1,18,0,0
Full-time,"Mid-Senior level",Semiconductors,0,1,4,0,0
Full-time,"Mid-Senior level","Graphic Design",0,1,6,0,0
NULL,NULL,"Staffing and Recruiting",0,1,3,0,0
Full-time,Associate,"Graphic Design",0,1,7,0,0
Contract,Internship,Internet,0,1,1,0,0
Contract,Associate,"Market Research",0,0,1,0,0
Full-time,"Mid-Senior level","Computer & Network Security",0,1,7,0,0
Full-time,"Mid-Senior level","Public Relations and Communications",0,0,1,0,0
Full-time,"Mid-Senior level",Warehousing,0,0,2,0,0
NULL,NULL,"Marketing and Advertising",0,1,3,0,0
Full-time,Executive,"Information Technology and Services",0,0,8,0,0
Other,"Entry level",Accounting,0,0,3,3,100
Full-time,Associate,"Health, Wellness and Fitness",0,0,5,0,0
Full-time,Associate,"Food & Beverages",0,0,3,0,0
Full-time,"Entry level","Food & Beverages",0,0,5,0,0
NULL,"Entry level","Security and Investigations",0,1,1,0,0
Contract,Associate,Research,1,0,1,0,0
Part-time,"Entry level","Legal Services",0,1,7,0,0
Contract,"Entry level","Computer Software",0,0,2,0,0
Full-time,Associate,"Architecture & Planning",0,1,1,0,0
Full-time,"Entry level","Staffing and Recruiting",0,0,3,0,0
Full-time,NULL,"Leisure, Travel & Tourism",0,0,5,5,100
Contract,Internship,"Computer Software",1,0,2,0,0
Other,Internship,"Management Consulting",0,1,1,0,0
Part-time,Internship,Maritime,1,0,1,0,0
Other,"Mid-Senior level","Marketing and Advertising",0,1,1,0,0
Full-time,NULL,"Mechanical or Industrial Engineering",0,1,1,0,0
Full-time,"Entry level",Research,0,1,3,0,0
Temporary,Internship,"Information Technology and Services",0,1,11,0,0
Full-time,"Not Applicable",Entertainment,0,0,1,0,0
Part-time,NULL,Transportation/Trucking/Railroad,0,1,9,0,0
Part-time,"Not Applicable","Events Services",0,0,1,0,0
Full-time,NULL,"Gambling & Casinos",0,1,2,0,0
NULL,NULL,Restaurants,0,0,16,0,0
Full-time,NULL,Retail,0,1,25,0,0
Contract,"Not Applicable","Information Technology and Services",0,0,3,0,0
Full-time,Director,Publishing,0,1,4,0,0
Full-time,"Mid-Senior level",Retail,0,0,9,0,0
Other,NULL,Accounting,0,0,1,0,0
Full-time,"Not Applicable","Media Production",0,1,5,1,20
Contract,NULL,NULL,0,1,35,1,2.86
Full-time,"Not Applicable","Health, Wellness and Fitness",0,0,7,1,14.29
Contract,"Not Applicable",Telecommunications,0,0,1,0,0
Full-time,NULL,"Consumer Goods",0,1,7,0,0
